Time,Primus/MV
352.872,4.3
359.03,4.3
365.286,4
371.525,3.6
377.891,3.5
383.923,3.7
390.192,3.9
396.206,3.7
402.206,3.3
408.237,3
414.202,3.2
420.506,3.8
426.792,5.2
433.27,6.7
439.509,8.3
445.925,9.6
452.258,10.3
458.688,10.7
465.534,10.7
472.221,10.4
478.667,9.9
485.353,9.3
491.687,8.6
497.895,8
504.071,7.4
510.036,7.3
516.163,7.6
522.161,7.5
528.176,6.4
534.174,4.6
540.188,2.4
546.268,1.3
552.282,1.2
558.264,1.1
564.281,1
570.278,0.9
576.31,3.3
582.722,7
589.09,7
595.551,7
601.903,6.9
608.364,6.8
614.861,6.7
621.369,6.6
627.865,6.6
634.201,6.6
640.726,6.5
646.884,6.5
653.395,6.5
659.68,6.5
665.969,6.4
672.013,6.4
678.204,6.5
684.331,6.5
690.649,6.5
696.839,6.5
702.966,6.5
709.222,6.5
715.62,6.5
722.003,6.6
728.56,6.6
734.751,6.6
741.246,6.6
747.803,6.6
754.252,6.5
760.762,6.5
767.016,6.5
773.592,6.6
780.357,6.7
787.027,6.8
793.762,6.8
800.673,6.6
807.118,6.4
813.773,6.4
820.268,6.4
826.746,6.4
833.192,6.5
839.431,6.5
845.942,6.5
852.132,6.6
858.626,6.8
865.281,6.9
871.68,6.8
877.9,6.6
884.011,6.4
890.731,6.3
897.129,6.4
903.735,6.5
910.149,6.4
916.696,5.5
923.09,7.5
929.568,7.4
935.729,7
941.647,6.6
947.629,6.4
953.883,6.3
960.106,6.4
966.298,6.5
972.44,6.6
978.454,6.6
984.484,6.6
990.739,6.5
996.979,6.5
1003.12,6.5
1009.44,6.5
1015.85,6.5
1022.19,6.5
1028.84,6.5
1035.61,6.5
1042.25,6.6
1048.96,6.6
1055.41,6.6
1061.97,6.5
1068.37,6.5
1075.12,6.5
1081.61,6.5
1087.88,6.5
1094.3,6.5
1100.76,6.5
1107,6.5
1113.25,6.5
1119.77,6.5
1126.32,6.5
1132.63,6.6
1139.04,6.6
1145.63,6.7
1151.92,6.8
1158.51,6.8
1165.05,6.7
1171.45,6.6
1177.93,6.6
1184.06,6.6
1190.29,6.6
1196.66,6.6
1203.09,6.6
1209.17,6.5
1215.54,6.5
1221.68,6.5
1227.88,6.7
1234.17,6.8
1240.68,6.8
1247.16,6.8
1253.29,6.8
1259.53,6.7
1265.81,6.7
1272.18,6.6
1278.51,6.5
1285.09,6.5
1291.42,6.5
1297.77,6.6
1304.06,6.5
1310.07,6.5
1316.53,6.5
1322.81,6.5
1329.08,6.5
1335.35,6.5
1341.81,6.5
1348.1,6.5
1354.24,6.5
1360.45,6.5
1366.59,6.5
1372.7,6.5
1378.95,6.5
1385.32,6.5
1391.81,6.5
1398.45,6.5
1404.66,6.5
1411.23,6.5
1417.7,6.5
1424.26,6.5
1430.59,6.5
1437.26,6.5
1443.71,6.5
1450.39,6.5
1456.95,6.6
1463.72,6.5
1470.72,6.5
1477.7,6.5
1484.45,6.6
1491.57,6.6
1498.28,6.7
1504.54,6.7
1511.07,6.6
1517.74,6.5
1524.45,6.5
1531.37,6.5
1538.29,6.5
1544.69,6.5
1551.33,6.5
1557.71,6.5
1564.3,6.5
1570.73,6.6
1576.95,6.5
1583.08,6.5
1589.22,6.5
1595.35,6.5
1601.48,6.6
1607.71,6.5
1614.1,6.5
1620.26,6.5
1626.51,6.6
1632.67,6.6
1638.78,6.6
1644.99,6.6
1651.42,6.6
1657.7,6.6
1663.81,6.6
1670.24,6.6
1676.71,6.6
1683.12,6.6
1689.26,6.6
1695.73,6.6
1702,6.6
1708.12,6.6
1714.51,6.7
1720.78,7
1727.02,7
1733.01,6.9
1739.27,6.7
1745.73,6.6
1752.02,6.5
1758.54,6.6
1765.01,6.6
1771.55,6.6
1777.98,6.5
1784.28,6.5
1790.75,6.5
1797.43,6.6
1803.72,6.6
1810.07,6.6
1816.72,6.6
1823.3,6.6
1829.74,6.6
1836.09,6.6
